"Sequence",1,2,3,4,5,6,7,8
"I50",0.5915851402561891,-0.11368770095174732,-0.21175832049739754,0.23342743120056497,0.09028804349573259,0.019392006870667344,0.1198467432084931,-0.22149841596273587
"I51",0.6080349647330668,-0.1198095926496218,-0.11553329371472683,-0.37839704253041523,-0.023755025394548802,-0.002629156811671946,0.06979351050841545,-0.2553200404651688
"I52",0.5886512430284904,-0.2422023584939704,-0.2420300208103642,0.1286611979648191,0.032883692994603614,-0.09903525201805656,-0.1858178777404679,-0.042533410049598035
"I53",0.6204506938907822,-0.18419541724272628,-0.25216509627681966,0.0027404281926977393,-0.1368615062733788,0.2840207901257113,0.2336300932073963,0.22475341126668294
"I54",0.5765656928366614,-0.0674120594985276,-0.13728630166323674,0.07297573124545487,-0.17561216522574064,0.15243913584474472,-0.1358679731709551,-0.21463004430285879
"I55",0.609446289846099,-0.1425818738872398,-0.19356286251147328,-0.07948053989796745,0.17938474637648238,-0.24405370233209395,0.1190866647108195,0.018922116060691673
"I56",0.5852462222746246,-0.17727270122246322,-0.21206310820354363,0.10811809853621657,0.1526030256646631,-0.06676400019164966,-0.011965887942782125,-0.08145186616135519
"I57",0.6283411227562637,-0.18367669703629713,-0.10293842596849544,0.055365821600415525,-0.11286309606143884,-0.06419153009100789,-0.037503295805526665,0.02090592370298191
"I58",0.6518746173998556,-0.19129090282327013,-0.1569927401660662,-0.06254097347784796,0.1593933116236823,-0.13510062862824396,0.06129073222891151,0.08448199308893777
"I59",0.6067681805781413,-0.18852090601805754,-0.20017455502303202,-0.07959397363665982,-0.19284661038967102,-0.05449616907174628,-0.1990019429118135,0.18969584386135943
"I60",0.6180254371630021,-0.1332985534110463,-0.2836404577962228,0.2585538332569634,0.07616368912335834,0.040126921390121646,0.09168987744574085,-0.26337829621578207
"I61",0.5854463352701167,-0.08870777396190858,-0.11307992192348731,-0.3428104815642347,-0.030748483771982842,0.07365114338957936,0.07511277332263644,-0.2546745353041781
"I62",0.6237381711051341,-0.2523880172936201,-0.22541174104710815,0.15469896790754195,0.011606688997352704,1.6377577441787538E-4,-0.17409735159729542,-0.0474472117657829
"I63",0.5899334399926492,-0.13775355895548483,-0.2373495252238812,0.016021145431797227,-0.18720192619542286,0.3275422230500552,0.21567168216722996,0.2524216874299382
"I64",0.5795180896304385,-0.08663443153118085,-0.18142593823276795,0.05824130275341145,-0.1259252347160185,0.1660178508595187,-0.10178641605569358,-0.1913256246798315
"I65",0.6085926887818627,-0.16207914351313876,-0.16018416403682778,-0.09445157263621921,0.13881860493904666,-0.23833798707767223,0.042028635070670124,0.009074576035864796
"I66",0.587706379678463,-0.18017092678346477,-0.13734346674131645,0.12227448845120453,0.13926960130269295,-0.0599390274215416,-0.07013436122149377,-0.10745130721858372
"I67",0.636094977409727,-0.17540676673275268,-0.17423622496507793,0.09084002244566704,-0.09719679844591891,-0.11148496582916526,-0.0591415064894484,0.014804684976369758
"I68",0.6421306261308976,-0.21298954622408992,-0.17991513264940825,-0.03985407239424966,0.13544744619288435,-0.10554460406382575,0.09891102621451453,0.07913332926706941
"I69",0.6255383811536294,-0.2119532777250562,-0.18663718319903083,-0.08084333363023512,-0.1741841523747443,-0.04988330904662105,-0.1514275004608355,0.24641035658481317
"I70",0.6135947301150732,-0.16553000920251115,-0.25109178387948083,0.25265026214713077,-0.007746170720857301,0.061181827186608494,0.07578023551943429,-0.24701062670430496
"I71",0.6190758695935702,-0.1563290840873264,-0.08998344406328446,-0.386892569603592,-0.031350666961115436,0.09469557282928655,0.07828433583923433,-0.2308811888767868
"I72",0.6272109049130362,-0.20568256018197675,-0.20717315866752284,0.1028212583969884,0.0072035707050559184,-0.04601504881738673,-0.21262102651913095,0.020364074827400488
"I73",0.6133955219975322,-0.18579939918072616,-0.279801852682538,0.02208900355021357,-0.18299709480179802,0.32803544230817927,0.23902953177742298,0.21156865581052559
"I74",0.5923633404129924,-0.06025185614008553,-0.13302030579472915,0.05530019301481117,-0.12838900607099912,0.13363204242082918,-0.03602779466631193,-0.2322013410910047
"I75",0.6173640572753065,-0.19211813255382892,-0.16629209433778566,-0.09753793591164836,0.21057097102333547,-0.23634321164643726,0.1613262558002096,0.01349981292792346
"I76",0.5927314391549936,-0.15493435378901915,-0.15730072506667236,0.09564250290655163,0.11473178529462866,-0.03265161864805564,-0.10300735153695655,-0.09729373474983734
"I77",0.6337698509241074,-0.20923048393846058,-0.15665706887152261,0.01704028908717695,-0.08984147505160785,-0.0928994531316525,-0.07746605525846756,-0.010200469008185727
"I78",0.5868060918648035,-0.16646216619718177,-0.18792962859159984,0.08119078532694599,0.056254162399314064,0.07448368062585625,-0.06850619451177783,-0.012310402717115575
"I79",0.6105560570901027,-0.12022152842243726,-0.09330034999470438,0.0718731955724316,0.03636552283028052,0.008141040944498705,-0.06937908232499394,0.052033074491746656
"I80",0.4758070809014292,0.00924913221486915,0.07466379271096867,-0.039466037328949814,0.04747562140012444,0.11593059041534813,-0.0018823240393234248,0.08362834381376043
"I81",0.5433787890575206,-0.09205223079779869,0.2266651094995925,0.045427751888319615,-0.013549660211669836,0.0034929427946953965,0.048345154055961605,-0.03937385667936708
"I82",0.5149870250480583,-0.1426460869836195,0.1905912850203379,-0.06162476511227781,0.05834506593671981,0.03450042613009168,0.022229721504051187,-0.06925214666715968
"I83",0.5277128105620794,-0.21378100524670496,0.25414692527993,-0.011784618572486794,0.09481625684787402,-0.013834166215012328,0.023113639283435777,0.042507955018244156
"I84",0.5617763187919245,-0.17127914523219323,0.12740609248901097,0.046318767228280655,-0.07992490870525686,-0.033914172218142635,-0.03025769820969064,-0.04222510861403705
"I85",0.5504312019333053,-0.03529707470270298,0.08116392646616793,0.011694213393142158,-0.034178591528888476,0.010020578952339279,0.0011495358576877758,-0.13747267411004926
"I86",0.5072442476447043,-0.07812530547248839,0.19443493409843857,0.061502382410662686,-0.04933725977621682,0.002464310060672046,0.013683838619587618,0.03460963273374503
"I87",0.47058708207113026,-0.12452127137822626,0.2533046090646707,0.24175379126190696,0.006041955576585786,-0.004961999081670056,0.08516216289544537,0.002789495321420792
"I88",0.5181029190367871,-0.10278181531142043,0.34276781837837794,0.06433039883447607,-0.08801885081520644,-0.12122973159601899,0.04202552348572214,-0.05386106713754688
"I89",0.4975264358501374,-0.128999975853563,0.2629336853567364,0.030793393104964643,0.008902966125684272,0.014528120103384373,0.13231930796791264,0.0037167913105057002
"I90",0.5740522857366779,-0.15817491972265335,0.19109705107635272,0.08238361253311227,-0.052846717415979266,-0.08690602589948006,-0.12702801788500642,-0.025203549940444922
"I91",0.4870353165893303,-0.11216368451194099,0.21138455572719067,0.13424269806832007,0.05406961401490761,0.10404609128011237,0.1067273921707947,0.029693619321938782
"I92",0.5140182394129834,-0.11343985773645839,0.30427558617149475,0.06067280717498918,-0.004529251213834327,-0.011176264655237125,0.01839149254500777,-0.009486545544312533
"I93",0.48282444957418746,-0.12234919551410768,0.2984507352609513,0.08025384421511686,0.058647653448510216,0.03539889487022551,0.12682242021344695,-0.0211149290049872
"I94",0.5571969262278985,-0.1547086970096051,0.17094704044933934,0.08845690849457645,-0.03329365386543717,-0.07612119863507244,-0.14745416022171073,-0.05226215420976612
"I95",0.4573300985204609,-0.12337108935765732,0.30687312387468474,0.1991074212043828,0.07117582484056352,0.09075936641994338,0.239753731201838,-0.011906997816585115
"I96",0.5483685253303892,-0.11418142516634867,0.30787100780266613,0.06285158152114435,0.09289371332297136,0.07219157262885684,0.10868404183545823,-0.0716906233108387
"I97",0.5639724023097836,-0.1968983981681551,0.29677880161054043,0.02074228239202972,-0.020275088793451253,-0.051792713217961854,0.005898423878179783,0.011325644876009629
"I98",0.5420120419773725,-0.17257302237943908,0.29615281050407005,0.060779731448575035,-0.05607155235219881,-0.18944410424196956,-0.020715105133735975,0.04550884535204542
"I99",0.5372426942543361,-0.09007754137175684,0.16606083805553423,0.06741226028479821,-0.016979289026077656,-0.13342969941785965,-0.011338180570318527,0.02033639699277158
"I100",0.5225442240571625,-0.10081088762701407,0.2254429735494553,0.05622136919859916,0.005108643724084752,0.019429947260784123,-0.01001245698817787,0.032969463954248816
"I101",0.4875838195707386,-0.089988799241348,0.2569762919394048,0.014859080098735364,-0.05972765139827435,-0.022155917204979714,0.01856306926844948,0.027749716618504255
"I102",0.5301860568552593,-0.059135190381925225,0.2133103371196005,0.05311897800537942,-0.05478954907205882,-0.04754646328534772,0.0016882506755763274,-0.05192436179986899
"I103",0.5332955099299576,-0.2531675757942268,0.3096650213335424,0.0382835197488442,-0.04860749362472433,-0.09543219906891395,0.07203994221222478,8.494104376989537E-4
"I104",0.4789060453981147,-0.15263898397468212,0.23670048751244593,0.0320247769702149,-0.08135128767523286,0.0877191561666912,0.0741611945400618,0.021650580357501704
"I105",0.5150337391097891,0.14503222129785043,0.07731540664057043,-0.038936189736975525,-0.06223501106114561,0.03553038220574237,-0.010429935617599917,-0.049039263602314885
"AI_4",0.494371904422942,0.1910676803117899,0.04590049516050412,-0.0565470629036991,0.0065086426773156535,0.01419056699342195,-0.04224696218587825,-0.006181952781441165
"AI_7",0.5753470460636552,0.2786767962595914,-0.02793460364634213,0.009511601127780791,0.08099616392799068,0.029683339460141164,-0.018465345199717494,-0.00825974708510079
"A1",0.5738560767417435,0.2007227458775956,0.0394736138215427,-0.05012450420350585,-0.03140169222332372,0.06948594950967547,-0.1487370022975642,-0.03550112247055902
"A4",0.4795819358284627,0.15641003561565728,-0.02302482370563209,-0.07212997230194251,0.07303381273306875,0.12241921809102341,-0.008825132782645873,-0.02643345637405899
"A8",0.58253857872898,0.288503753391135,-0.021455557953866788,0.03696560774077045,0.036206859727373406,0.03157868992809534,-0.013146733706589342,0.040645600359272664
"A11",0.5433279466381191,0.22779340988360322,-9.285627313831997E-4,-0.03784021402862218,0.11008785725334395,0.10951311069075723,-0.07271574611185426,0.02977475822536318
"A15",0.5360804420754093,0.28044762702216397,-0.004631717231219251,0.0529350457776036,0.0815984860239834,0.04298573391412675,0.010855581042975718,0.009027821849458386
"A18",0.5586742861577588,0.1666877688422817,-0.02000159017540058,-0.035193631594021516,0.07335352539789326,0.05382224401580229,-0.05443186291565239,0.10101897033831701
"A22",0.5336707655177283,0.3221174273193759,-0.06744454182006891,0.041681032853039965,0.07213335412292876,0.00431517410764242,0.036756913991361974,0.047260581070896396
"A25",0.5682220335621972,0.2224186377914109,-0.028826612888889967,-0.01583917549272119,0.022140021005631297,0.04218053006810038,0.03275078884154501,-0.03555763498450012
"A29",0.5823176381412971,0.2516519156853778,-0.029227318556165605,-0.05898146315736909,0.013600296442705656,-8.320041715968029E-4,0.06485813134381799,-0.005492112989561422
"A32",0.592780900596458,0.26241884915708635,0.013470206196919183,0.023118113332049783,-0.01711855182408222,0.04276731815400934,-0.04025170105337051,0.03534811653589274
"A36",0.5827136959704747,0.2831155101489511,-0.01617341765088684,0.031070903058960528,0.09216590798173437,-0.002925965687299225,0.0450307424825878,-0.04174399397312472
"A39",0.5766557879736885,0.28315410358242865,-0.04045648343571207,0.012577259149882943,0.016115050212015793,-0.01433168771283734,-0.12655708392089784,0.008665722373828394
"A43",0.5958058336491817,0.39118763051743227,-0.04929117651594443,0.04451925959247432,-0.052807655532324575,-0.12204482808056745,0.08521280212445728,-0.015980276457125416
"A46",0.573666022417348,0.25783184817496063,0.01908084611627836,-0.012015104863287274,0.09145143969150912,0.07808606927393538,0.021265115615159983,0.03234161307765212
"A50",0.6052172770957274,0.2301639463209123,-0.06872847503462727,-0.04539699707277698,0.030864901133248645,0.005152746466959182,0.017847448065070177,-0.043188645413008556
"A54",0.5500994664743302,0.4053740262317948,-0.13213438539857578,0.03657450728116686,-0.20539123956961303,-0.1510825493672267,0.0763962465781014,-0.0014748720713144705
"A57",0.563386252782683,0.2850604370950677,0.04059052357962015,0.08541772234617848,-0.031042082017335784,0.021587227248451957,-0.033275112558183044,0.014616973630083695
"A61",0.5704537485911995,0.2836536391525481,0.0439389949680074,-0.045391189508817494,4.893967630004879E-4,0.06945963430209796,-0.07708693655837986,-0.03451516217672127
"A65",0.5939609032428348,0.4437075356845622,-0.0732625387357601,0.07823496720891701,-0.16084091885762816,-0.1700768773347343,0.07570184874722125,-0.016878152244981137
"A68",0.5712254621734315,0.26670892036921073,-0.00554730359047262,0.009435346735447952,0.04626148742085106,-0.05303935415362439,-0.1170692824879219,0.01842189255299881
"A72",0.5915125820443489,0.27996445217394056,0.0041396115035986425,0.01322406199155795,0.021860880463926476,0.06666458290946341,-0.12013376816520328,0.030654934903356607
"A76",0.6015223681662615,0.4049133582871865,-0.07977019743370238,0.03145686299638132,-0.19866438575867063,-0.25184475713706506,0.2170879587761381,-0.001809619485605048
"A79",0.5722266499749185,0.29681445304277426,7.206474753526573E-4,0.059025139334548206,0.07175373350244996,0.11747065260324464,-0.1320648422432354,-0.041723569695737726
"A83",0.5982453223167291,0.33740893800299687,-5.671659330409963E-4,0.06974192505389906,0.1045887014508918,0.12428322742741203,-0.02819611399915367,0.09070009007387089
"A87",0.6126216827505074,0.41837338911796035,-0.043513921946950876,0.02991507498375452,-0.15313494336766698,-0.2076071675651837,0.1656282962448003,-0.004576854369892366
"A90",0.5818170111104092,0.2541930182144906,0.03987782088047059,-0.036093444870813236,0.029716754941292094,0.08181136427347677,-0.192910912881291,-0.047411976263851005
"A94",0.6057074586362252,0.309011974780343,0.009436423082227993,0.0958118088902341,0.0837290070431041,0.09839666333849448,-0.02370389490864443,0.0900533007910941
"A98",0.6030640661292861,0.39475891450722433,-0.04774709290992854,0.042142981811976475,-0.10066672734115086,-0.19976914807743582,0.12121997299377793,0.046669959357354115
"A101",0.5784311090998953,0.28914517637778014,0.027135327522884813,0.04233744402940122,0.0669797854377453,0.06433222062482352,-0.20294195566635778,-0.0297944318311085
"A105",0.5999111535933267,0.310721585016634,0.017264042987314984,0.02479285052711688,0.04166407932640813,0.04349430875937066,-0.0784424430785049,-3.692190914605933E-4
"A109",0.6145902730451558,0.4221789149035653,-0.05061555608874861,0.028403280130692588,-0.1386250534352902,-0.1912916105892921,0.24543316927071446,0.0321942851820208
"A112",0.5561221633973497,0.2566587775634167,0.033369589509735,-0.014351829597679716,-0.06356258115738261,0.09466362713284097,-0.13972149999825278,-0.04532565607276473
"A116",0.6033402192419774,0.3556270834040023,0.03028683371880012,0.09358769718926896,0.05049027819323815,0.013318701969519809,-0.08201107465842312,-0.036931157445538626
"A120",0.5891300732014927,0.31189261187751866,-0.010994115262047167,0.017792151082914185,-0.1341338785846231,-0.06333814232536253,0.06222842570423858,0.028631084611276943
"A123",0.5471276520774481,0.2981445282415281,-0.011535336837207016,0.0069821036715643076,0.023340853798285956,0.040483793171712176,-0.08480927403762688,-0.0062806357673590605
"A127",0.5851496970556056,0.22723766364949127,-0.05463270936410504,-0.08057708512899472,0.06208920474318305,0.058181385392579256,8.887426797478719E-4,0.06990724638092964
"A131",0.5955536377807299,0.37640542596194443,-0.07811413625060995,0.004298668362090418,-0.07837178435437617,-0.06454141986159909,0.011913914885613795,-0.013404838214169422
"A134",0.5452321416417538,0.17086418059643446,0.014577846385408997,-0.019640011974181262,0.026413167216671547,0.08291877999789626,-0.09615945353468533,-0.10939270787823681
"A138",0.5856472663766877,0.22693577524976977,-0.028018294082146684,-0.03555772499229899,0.0910286937119057,0.0912251539722745,-0.04450722797219238,0.09701048129360379
"A142",0.5759970662854245,0.38938738962689823,-0.03100280979575562,0.03417156579490343,-0.1442869176020221,-0.09910650860428714,0.08853230431279283,-0.015866988601836492
"A145",0.5437114564169164,0.3152501180231196,0.04985598422756391,0.060707587308077654,-0.008999023467503715,-2.2801700637801962E-4,-0.08469615539946662,-0.07232846558169033
"A149",0.5752674540797794,0.30249340665100133,-0.037887393500579035,0.014290121764888862,-0.022346136356304606,-0.005169680265036187,0.04277087518264979,-0.037314674653894694
"A153",0.6183631013711206,0.31735682164534007,-0.0647295786612325,-0.015870219116155587,-0.10218970064219043,-0.14649329641302594,0.06338531661468672,-0.00733030096088919
"A156",0.5607690614835414,0.19795028530311903,0.02269936281364656,-0.053132660145656374,0.005039021301321364,0.04453422416353849,-0.029531775123114973,-0.04122038822968972
"A160",0.5705770505104405,0.28575880325894204,0.011185995994875967,-2.437284204058019E-4,-0.07449077808936354,5.595060820495071E-4,0.017318020551677853,-0.0034044553813258153
"A164",0.5940147957639482,-0.06789813840963703,0.14018798277287717,-0.08270305516599077,0.0708985097402317,-0.04042448814914503,-0.09483174876338489,0.039194698633185074
"A165",0.49945328125248706,0.20489662318311688,-0.036369202720888366,-0.03416682538856618,0.07113138124067488,0.0713315269199491,0.011405604863395919,0.03512615096377322
"A168",0.558561002973791,-0.055017874630463634,0.1473608375398326,-0.14520894150142977,0.07839450236863585,-0.06934150479268172,-0.04176787305961541,0.13224564173929423
"A169",0.5066742653245332,0.20010987413155462,-0.009713852580127785,-0.13424581466436242,0.05164825945952225,-0.028120305021869286,-0.027483954550976096,-0.03538925893894551
"M1",0.5162566953123029,-0.11734276618205662,0.0713525070150361,-0.0011696166658065623,0.031892500263535954,-0.021672426430653157,0.01577011896708377,0.10048931366753543
"M2",0.5787260240101655,-0.01360984050432418,0.12838789722003616,-0.062398431629669335,0.05411314074488222,-0.012717692040353678,-0.009574470401595547,0.04619505812816863
"M3",0.570217808738392,0.01560651623821032,0.0648500331989556,-0.04526747900242047,0.09534118612509086,0.1168532890635957,-0.06977577774614013,0.06329056868760688
"M4",0.5187048660206611,0.053171437936177006,0.1145443213747187,-0.045766082265171024,0.06514589563766396,0.03757853452133837,-0.010044716621299092,0.06482358280231082
"M5",0.5460455461538668,0.017461158546527616,0.11727838419191894,-0.03259152134076967,0.05286885836931118,0.05486753963775985,0.002337832097704459,-0.04215557206378565
"M6",0.5441928948844069,-0.0762612814374515,0.056233651341983645,-0.007017615171845838,0.009183260856955082,-0.08711114051832379,-0.06860755802852807,-0.016854826637902123
"M7",0.5606223846314439,-0.034763131099768,0.0675771517273238,-0.1078789651108215,-0.010657404162046994,0.024158944767375068,-0.061924609894247265,0.0296402764832195
"M8",0.4669991989251935,-0.03399158437208493,0.1233050041446267,0.0198029026954894,0.05897536809654755,0.03797043225002399,-0.06572726744991834,-0.048228934656607575
"M9",0.5839237484347016,-0.07661189641201488,0.09129285338894334,-0.08930376171760362,0.044634389104955714,0.1149661112406849,0.0014460945172284215,0.03181320444565576
"M10",0.5777874565432046,0.14770700572461995,0.03578277959270089,-0.10873533908584349,-0.027758935810106487,0.017575997532207958,0.03580955708511042,0.03408212201160799
